	#ALIMENTADOR	ALIM_NRO	ME_PSEUDO	ME_TIPO	ME_NOMBRE	ME_ORDEN	UT_TPLNR	UT_TXT	UT_OBJECTNAMEID	UT_TIPO	SPRID	CAPTION	SECUENCIA
30079	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB181	PIQUETE OB181	6327194	PIQUETE_MT	408	Poste de Madera de M.T.	70
30080	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327195	VANO 3x50 Al. T	6327195	LAMT	1089	LAMT 13,2 kV	71
30081	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB182	PIQUETE OB182	6327197	PIQUETE_MT	408	Poste de Madera de M.T.	72
30082	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327200	VANO 3x50 Al. T	6327200	LAMT	1089	LAMT 13,2 kV	73
30083	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB183	PIQUETE OB183	6327202	PIQUETE_MT	408	Poste de Madera de M.T.	74
30084	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327203	VANO 3x25 Al. H	6327203	LAMT	1089	LAMT 13,2 kV	75
30085	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327206	VANO 3x50 Al. T	6327206	LAMT	1089	LAMT 13,2 kV	76
30086	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB184	PIQUETE OB184	6327208	PIQUETE_MT	408	Poste de Madera de M.T.	77
30087	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327209	VANO 3x50 Al. T	6327209	LAMT	1089	LAMT 13,2 kV	79
30088	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB185	PIQUETE OB185	6327211	PIQUETE_MT	408	Poste de Madera de M.T.	80
30089	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327212	VANO 3x50 Al. T	6327212	LAMT	1089	LAMT 13,2 kV	81
30090	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB186	PIQUETE OB186	6327214	PIQUETE_MT	408	Poste de Madera de M.T.	82
30091	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327217	VANO 3x50 Al. T	6327217	LAMT	1089	LAMT 13,2 kV	83
30092	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB187	PIQUETE OB187	6327219	PIQUETE_MT	408	Poste de Madera de M.T.	84
30093	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327220	VANO 3x50 Al. T	6327220	LAMT	1089	LAMT 13,2 kV	85
30094	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB188	PIQUETE OB188	6327222	PIQUETE_MT	408	Poste de Madera de M.T.	86
30095	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327223	VANO 3x50 Al. T	6327223	LAMT	1089	LAMT 13,2 kV	87
30096	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB189	PIQUETE OB189	6327225	PIQUETE_MT	408	Poste de Madera de M.T.	88
