#TPLNR	DESCRIPT	TIPO_OBJ_TEC	INVNR	BEGRU	F_ALTA_SAP	F_BAJA_SAP	PTA_SERVICIO	TPLMA	EMPLAZAMIENTO	DIVISION	AREA	OBJECTID	OBJECTNAMEID	TIPO	PARTIDO_GEO	LOCALIDAD_GEO	PARTIDO	LOCALIDAD	SPRID	ALIAS	SECCION	PERFIL	PARTE_OBJETO	OBJETO	LONGITUD	CUADRICULAID	CUADRICULA	FLTYP	COOR_X	COOR_Y	CTRO_COSTO	CALLE	ALTURA_DESDE	ALTURA_HASTA	ENTRE_CALLE_1	ENTRE_CALLE_2	GPS	IDENTIFICADOR
AK983	PIQUETE AK983	PIQUETE_MT	5579339	MT	22/03/2016		31/10/2022	MM102269053	13212A	1.0	2ME	5579339.0	5579339.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491251.0	458L	Q	5596314.693	6146008.986	4424.0	CNO A MORENO*	15701	15799			-34.8275 , -58.9472	AK983
AF329-004	PIQUETE AF329	PIQUETE_MT	94103736	MT	14/04/2024		01/01/1998	MM96025328	15326A	6.0	3TI	94103736.0	94103736.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489455.0	152	Q	5630845.78	6199138.375	4439.0	ARROYO TORO			ARROYO TORO		-34.3448 , -58.578	AF329
AF238-004	PIQUETE AF238	PIQUETE_MT	94087427	MT	14/04/2024		01/01/1995	MM6326281	15326A	6.0	3TI	94087427.0	94087427.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489463.0	182	Q	5630618.331	6194585.13	4439.0	ARROYO CURUBICA			RIO SARMIENTO		-34.3859 , -58.5797	AF238
AG294-004	PIQUETE AG294	PIQUETE_MT	94178230	MT	22/03/2016		01/01/1998	MM95858046	15326A	6.0	3TI	94178230.0	94178230.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5627541.249	6206856.433	4439.0	RIO PARANA DE LAS PALMAS			RIO PARANA DE LAS PALMAS		-34.2757 , -58.615	AG294
AL287	PIQUETE AL287	PIQUETE_MT	5582662	MT	22/03/2016		01/01/1985	MM5582643	13212A	1.0	2ME	5582662.0	5582662.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489619.0	441	Q	5597669.836	6148663.899	4424.0						-34.8034 , -58.9327	AL287
4258-9	SECCIONADOR 	CELDA_MT	17627643	MT	22/03/2016			CP17627643	15326A	6.0	3TI	17627643.0	17627643.0	SECC_MTCT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1159.0	FAEK	CTAMM	CEPLATMM				57493284.0	181E	P	5630239.663	6195356.054	4439.0	ARROYO REYES			RIO SARMIENTO	ARROYO ANGOSTURA	-34.379 , -58.584	4258-9
4458-9	SECCIONADOR 	CELDA_MT	17631921	MT	22/03/2016			CP17631921	15326A	6.0	3TI	17631921.0	17631921.0	SECC_MTCT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1159.0	FAEK	CTAB	CEPLATMB				57489472.0	165	P	5627959.112	6197879.8	4439.0	ARROYO ESPERA			ARROYO TORITO	ARROYO ESPERITA	-34.3565 , -58.6091	4458-9
OL878	PIQUETE OL878	PIQUETE_MT	6330296	MT	22/03/2016		01/01/2000	MM6330636	15326A	6.0	3TI	6330296.0	6330296.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493280.0	181A	Q	5626906.814	6195121.214	4439.0	RIO CARAPACHAY	0       				-34.3815 , -58.6202	OL878
OL244	PIQUETE OL244	PIQUETE_MT	6332370	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332370.0	6332370.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489457.0	150	Q	5626661.585	6199625.898	4439.0	ARROYO ESPERA					-34.341 , -58.6235	OL244
OM035	PIQUETE OM035	PIQUETE_MT	6328278	MT	22/03/2016		01/01/1997	MM91457338	15326A	6.0	3TI	6328278.0	6328278.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5628653.249	6204771.704	4439.0	ARROYO ANDRESITO					-34.2943 , -58.6026	OM035
OH931	PIQUETE OH931	PIQUETE_MT	6087005	MT	22/03/2016		01/01/1964	MM6086992	5822A	6.0	3TI	6087005.0	6087005.0	PIQUETE_MT	334.0	440.0	TIGRE	EL TALAR	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57490272.0	227M	Q	5624879.775	6185407.313	4439.0	CANADA(ETA)	700	798			-34.4693 , -58.6408	OH931
OL243	PIQUETE OL243	PIQUETE_MT	6332373	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332373.0	6332373.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489457.0	150	Q	5626665.057	6199665.808	4439.0	ARROYO ESPERA					-34.3406 , -58.6235	OL243
AL530-002	PIQUETE AL530	PIQUETE_MT	80410054	MT	08/12/2020		15/03/2021	MM79967754	13212A	1.0	2ME	80410054.0	80410054.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491253.0	458N	Q	5598147.297	6146508.819	4424.0	MAIZANI AZUCENA	0	0	RUTA NRO 6		-34.8228 , -58.9272	AL530
AI346	PIQUETE AI346	PIQUETE_MT	18769861	MT	24/12/2017		10/07/2007	MM80276380	13212A	1.0	2ME	18769861.0	18769861.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491247.0	458H	Q	5597361.557	6147051.633	4424.0	CNO A MORENO*	10	10	EL PUENTE	RUTA NRO 6	-34.818 , -58.9358	AI346
79967755	VANO 3x95/15 Al/Ac. LP	LINEA_MT	79967755	MT	13/10/2020		24/09/2020	MM79967754	13212A	1.0	2ME	79967755.0	79967755.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x95/15 Al	LNAEREMT	LNA132MT	L139	18.09	57491220.0	476A	L	5599040.969	6145178.929	4424.0	RUTA NRO 6					-34.8347 , -58.9173	
79990049	VANO 3x95/15 Al/Ac. LP	LINEA_MT	79990049	MT	20/10/2020		24/09/2020	MM79967754	13212A	1.0	2ME	79990049.0	79990049.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x95/15 Al	LNAEREMT	LNA132MT	L139	71.62	57491259.0	458T	L	5598384.451	6145824.943	4424.0	RUTA NRO 6					-34.8289 , -58.9245	
5580984	VANO 3x50 Al. H	LINEA_MT	5580984	MT	22/03/2016		01/01/1973	MM80276380	13212A	1.0	2ME	5580984.0	5580984.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x50 Al. H	LNAEREMT	LNA132MT	L135	56.620000000000005	57491247.0	458H	L	5597096.274	6146766.743	4424.0	RUTA PROV NRO 41	10	10			-34.8206 , -58.9387	
AL455-002	PIQUETE AL455	PIQUETE_MT	80004229	MT	20/10/2020		24/09/2020	MM79967754	13212A	1.0	2ME	80004229.0	80004229.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491248.0	458I	Q	5597795.334	6147248.566	4424.0	RUTA NRO 6		(+/-10)	RUTA NRO 6		-34.8162 , -58.9311	AL455
K13-123MO	SECCIONADOR K13-123MO	SECCIONADR	5582711	MT	21/03/2016			13212A	13212A	1.0	2ME	90221203.0	5582711.0	SECC_AEREO_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	397.0	SECA		SEMTMANS	SEAUTOKY	SEKY		57491247.0	458H	P	5597371.511	6147030.038	4424.0	EL PUENTE	2	100	CNO A MORENO*		-34.8182 , -58.9357	K13.123MO
CP56411677	SECA LADO 12541-TR1 CT 12541C	CELDA_MT	CP56411677	MT	21/03/2016			12541C	13212A	1.0	2ME	23133291.0	23133291.0	CELDA	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1454.0	CLMI	CTAMH	CEPLATHM				57491317.0	422R	P	5593566.792	6151381.115	4424.0	RICARDO*					-34.7793 , -58.9778	56411677-FAEK-12541_TR1-TMMB
CP17618783	SECA LADO 40013-TR1 CT 40013C	CELDA_MT	CP17618783	MT	21/03/2016			40013C	15326A	6.0	3TI	23111500.0	23111500.0	CELDA	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1454.0	CLMI	CTAB	CEPLATMB				57489472.0	165	P	5628705.723	6196446.142	4439.0	ARROYO ESPERA			ARROYO TORITO	ARROYO GELVEZ	-34.3694 , -58.6008	17618783-FAEK-40013_TR1-TMMB
5690390	VANO 3x50/8 Al/Ac. LP	LINEA_MT	5690390	MT	22/03/2016		29/03/2023	MM5690339	13212A	1.0	2ME	5690390.0	5690390.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	10.09	57492944.0	520E	L	5598823.784	6136414.195	4424.0	EL MIRADOR*	602	700			-34.9137 , -58.9186	
OS286	PIQUETE OS286	PIQUETE_MT	6331853	MT	22/03/2016		16/11/2005	MM6331791	15326A	6.0	3TI	6331853.0	6331853.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493297.0	181R	Q	5628586.254	6193448.017	4439.0	ARROYO GALLO FIAMBRE	0       		ARROYO MIRAMAR		-34.3964 , -58.6017	OS286
6331703	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331703	MT	22/03/2016		01/01/2000	MM6330980	15326A	6.0	3TI	6331703.0	6331703.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	14.19	57489457.0	150	L	5625341.582	6198570.206	4439.0						-34.3506 , -58.6377	
OC232	PIQUETE OC232	PIQUETE_MT	6331295	MT	22/03/2016		21/07/2003	MM6331352	15326A	6.0	3TI	6331295.0	6331295.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489445.0	137	Q	5624921.52	6202098.374	4439.0	RIO CARAPACHAY	0       				-34.3189 , -58.6428	OC232
6332360	VANO 3x50 Al. V	LINEA_MT	6332360	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332360.0	6332360.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.19	57489457.0	150	L	5626658.289	6199505.943	4439.0	ARROYO ESPERA					-34.342 , -58.6235	
6331660	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331660	MT	22/03/2016		01/01/1998	MM6331628	15326A	6.0	3TI	6331660.0	6331660.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	35.53	57489420.0	111	L	5626440.872	6207149.49	4439.0	ARROYO CRUZ COLORADA					-34.2732 , -58.627	
OC135	PIQUETE OC135	PIQUETE_MT	6332459	MT	22/03/2016		08/07/2003	MM6332094	15326A	6.0	3TI	6332459.0	6332459.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489457.0	150	Q	5626844.169	6200558.301	4439.0	ARROYO ESPERA					-34.3325 , -58.6217	OC135
5580090	VANO 3x25 Al. H	LINEA_MT	5580090	MT	22/03/2016		01/01/1974	MM77859938	13212A	1.0	2ME	5580090.0	5580090.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x25 Al. H	LNAEREMT	LNA132MT	L135	67.99	57489616.0	457	L	5594901.115	6145413.754	4424.0	CNO AL PINO*	10	10			-34.833 , -58.9625	
5690406	VANO 3x50 Al. H	LINEA_MT	5690406	MT	22/03/2016		01/01/1983	MM5690339	13212A	1.0	2ME	5690406.0	5690406.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x50 Al. H	LNAEREMT	LNA132MT	L135	62.690000000000005	57492920.0	521A	L	5599016.864	6136244.044	4424.0	AERODROMO*					-34.9152 , -58.9165	
5689923	VANO 3x120 Al. V	LINEA_MT	5689923	MT	22/03/2016		01/01/1971	MM5690025	13212A	1.0	2ME	5689923.0	5689923.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	71.15	57489646.0	492	L	5600031.976	6140655.915	4424.0	2 DE ABRIL	300	398			-34.8754 , -58.9059	
5689887	VANO 3x120 Al. V	LINEA_MT	5689887	MT	22/03/2016		01/01/1971	MM5690025	13212A	1.0	2ME	5689887.0	5689887.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	71.16	57489646.0	492	L	5600639.948	6141618.421	4424.0	2 DE ABRIL	300	398			-34.8666 , -58.8994	
53059370	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	53059370	MT	22/03/2016		19/05/2014	MM97171910	13212A	1.0	2ME	53059370.0	53059370.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	51.48		422M	L	5593284.952	6151357.75	4424.0	RUTA NRO 6					-34.7795 , -58.9809	
6329870	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	6329870	MT	13/04/2016		01/01/2004	MM6329949	15326A	6.0	3TI	52349421.0	6329870.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	39.99	57493298.0	181S	L	5629281.32	6193472.75	4439.0	RIO CARAPACHAY	0       				-34.3961 , -58.5941	
19394017	VANO 3x50/8 Al/Ac. H	LINEA_MT	19394017	MT	22/03/2016		31/01/2008	MM19394897	13212A	1.0	2ME	19394017.0	19394017.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	63.02	57493010.0	507K	L	5599488.552	6138162.295	4424.0	RITA VERONICA EROLES	0	0			-34.8979 , -58.9115	
64891707	VANO 3x50/8 Al/Ac. LP	LINEA_MT	64891707	MT	30/07/2017		01/01/1998	MM6328469	15326A	6.0	3TI	64891707.0	64891707.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	38.09	57489432.0	126	L	5628465.684	6206437.098	4439.0	ARROYO SIN NOMBRE NRO 3					-34.2793 , -58.6049	
AK999-002	PIQUETE AK999	PIQUETE_MT	76989446	MT	26/12/2019		17/12/2019	MM80410062	13212A	1.0	2ME	77637197.0	76989446.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491254.0	458O	Q	5598374.005	6146515.384	4424.0	LOS TULIPANES*	0	0	MAIZANI AZUCENA		-34.8227 , -58.9247	AK999
6332107	VANO 3x50 Al. V	LINEA_MT	6332107	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332107.0	6332107.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	28.5	57489472.0	165	L	5627344.708	6198249.686	4439.0	ARROYO ESPERA					-34.3533 , -58.6159	
5581477	VANO 3x50 Al. H	LINEA_MT	5581477	MT	22/03/2016		01/01/2000	MM96984816	13212A	1.0	2ME	5581477.0	5581477.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50 Al. H	LNAEREMT	LNA132MT	L135	59.99	57491313.0	422N	L	5594200.176	6151788.872	4424.0	CTRY LAS HOJAS					-34.7756 , -58.9709	
CP17502235	SECA LADO 13011-TR1 CT 13011C	CELDA_MT	CP17502235	MT	21/03/2016			13011C	13212A	1.0	2ME	23107393.0	23107393.0	CELDA	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1454.0	CLMI	CTAMH	CEPLATHM				57493005.0	507F	P	5598901.686	6138686.507	4424.0	TEODORO RONALDO EROLES	10	10	2 DE ABRIL	ISLA SOLEDAD	-34.8932 , -58.918	17502235-FAEK-13011_TR1-TMMB
5582725	VANO 3x50/8 Al/Ac. H	LINEA_MT	5582725	MT	22/03/2016		01/01/2001	MM5582711	13212A	1.0	2ME	5582725.0	5582725.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	55.01	57491248.0	458I	L	5597559.254	6146845.742	4424.0	EL PUENTE	2	100			-34.8198 , -58.9337	
AF217-003	PIQUETE AF217	PIQUETE_MT	94084112	MT	24/12/2017		01/01/1995	MM6328859	15326A	6.0	3TI	94084112.0	94084112.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57490109.0	197J	Q	5629779.542	6192157.087	4439.0	RIO LUJAN			ARROYO GAMBADO	RIO LUJAN	-34.4079 , -58.5885	AF217
4616C	4616-PIPER (P) CTAMM PIPER (P)	CENTRO	16398120	MT	21/03/2016		31/10/1996	15326A	15326A	6.0	3TI	16398120.0	16398120.0	CENTRO	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1188.0	CTAMM		CEPLATMM	CECTAMMC	DPAT		57489433.0	125	P	5625476.454	6204656.061	4439.0	RIO CARAPACHAY			RIO PARANA DE LAS PALMAS	LAGUNA IDA HOME	-34.2958 , -58.6371	4616-PIPER (P)
AF408-003	PIQUETE AF408	PIQUETE_MT	94111741	MT	24/12/2017		01/01/1994	MM6332094	15326A	6.0	3TI	94111741.0	94111741.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489472.0	165	Q	5627382.137	6198104.73	4439.0	ARROYO ESPERA			ARROYO ESPERA		-34.3546 , -58.6154	AF408
6329231	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	6329231	MT	22/03/2016		08/04/2021	MM6329179	15326A	6.0	3TI	6329231.0	6329231.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	40.65	57493291.0	181L	L	5627928.979	6193730.761	4439.0	RIO LUJAN	0       				-34.3939 , -58.6089	
23640705	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	23640705	MT	13/04/2016		01/06/2015	MM6332760	15326A	6.0	3TI	55249468.0	23640705.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	65.06	57489472.0	165	L	5629462.005	6196551.006	4439.0	ARROYO GELVEZ					-34.3683 , -58.5926	
AF098-003	PIQUETE AF098	PIQUETE_MT	94064811	MT	24/12/2017		08/08/2022	MM97337429	15326A	6.0	3TI	94064811.0	94064811.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489472.0	165	Q	5630098.299	6195955.267	4439.0	ARROYO ESPERA			ARROYO ESPERA		-34.3736 , -58.5856	AF098
4583C	4583-GUATAMBU (2) CTAMM GUATAMBU (2)	CENTRO	16388557	MT	21/03/2016		10/05/1996	15326A	15326A	6.0	3TI	16388557.0	16388557.0	CENTRO	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1188.0	CTAMM		CEPLATMM	CECTAMMC	DPAT		57489472.0	165	P	5629484.595	6197990.194	4439.0	ARROYO GELVEZ			ARROYO TORO	ARROYO ESPERA	-34.3553 , -58.5926	4583-GUATAMBU (2)
AG124-003	PIQUETE AG124	PIQUETE_MT	94185934	MT	24/12/2017		01/01/1998	MM95885564	15326A	6.0	3TI	94185934.0	94185934.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489433.0	125	Q	5625289.537	6206524.651	4439.0	RIO CARAPACHAY			RIO CARAPACHAY		-34.2789 , -58.6394	AG124
AG962-003	PIQUETE AG962	PIQUETE_MT	94226958	MT	24/12/2017		01/01/1998	MM6331352	15326A	6.0	3TI	94226958.0	94226958.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489445.0	137	Q	5625302.913	6203238.017	4439.0	RIO CARAPACHAY			RIO CARAPACHAY		-34.3086 , -58.6388	AG962
CP17634879	SECA LADO 4613-TR1 CT 4613C	CELDA_MT	CP17634879	MT	21/03/2016			4613C	15326A	6.0	3TI	23112036.0	23112036.0	CELDA	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1454.0	CLMI	CTAMM	CEPLATMM				57489445.0	137	P	5624953.808	6202326.252	4439.0	RIO CARAPACHAY			RIO PARANA DE LAS PALMAS	LAGUNA IDA HOME	-34.3168 , -58.6424	17634879-FAEK-4613_TR1-TMMB
OA079	PIQUETE OA079	PIQUETE_MT	6326394	MT	22/03/2016		09/05/2002	MM6326545	15326A	6.0	3TI	6326394.0	6326394.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489471.0	166	Q	5630477.258	6196576.356	4439.0	ARROYO RAMA NEGRA	0       				-34.368 , -58.5816	OA079
OB199	PIQUETE OB199	PIQUETE_MT	6327262	MT	22/03/2016		09/01/2003	MM91523044	15326A	6.0	3TI	6327262.0	6327262.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489443.0	139	Q	5631415.936	6203654.539	4439.0						-34.3041 , -58.5725	OB199
AL529-002	PIQUETE AL529	PIQUETE_MT	80410057	MT	08/12/2020		15/03/2021	MM80410062	13212A	1.0	2ME	83528708.0	80410057.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491253.0	458N	Q	5598169.014	6146530.944	4424.0	MAIZANI AZUCENA	0	0	RUTA NRO 6		-34.8226 , -58.927	AL529
AK536-002	PIQUETE AK536	PIQUETE_MT	73690732	MT	31/03/2019		01/01/1900	MM77660722	13212A	1.0	2ME	73690732.0	73690732.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491301.0	422B	Q	5592665.864	6153286.383	4424.0	RUTA NRO 6			RUTA NRO 6		-34.7622 , -58.9878	AK536
6328142	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6328142	MT	22/03/2016		01/01/1996	MM6328184	15326A	6.0	3TI	6328142.0	6328142.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	39.99	57489456.0	151	L	5628366.864	6199494.753	4439.0	ARROYO TORITO					-34.3419 , -58.605	
OR196	PIQUETE OR196	PIQUETE_MT	6332085	MT	22/03/2016		13/06/2005	MM6332081	15326A	6.0	3TI	6332085.0	6332085.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	441.0	MPCR2		POMTMADS	POMTMADE	PO14		57489472.0	165	Q	5627865.434	6197940.16	4439.0	ARROYO ESPERA	0       				-34.356 , -58.6102	OR196
OA029	PIQUETE OA029	PIQUETE_MT	6326412	MT	22/03/2016		08/05/2002	MM6326545	15326A	6.0	3TI	6326412.0	6326412.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489471.0	166	Q	5630704.399	6196629.578	4439.0	ARROYO RAMA NEGRA	0       				-34.3675 , -58.5791	OA029
6331243	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331243	MT	22/03/2016		01/01/1998	MM96295187	15326A	6.0	3TI	6331243.0	6331243.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	38.33	57489445.0	137	L	5624821.738	6201555.864	4439.0	RIO CARAPACHAY	0       				-34.3238 , -58.6438	
AB762-003	PIQUETE AB762	PIQUETE_MT	55252218	MT	22/03/2016		01/06/2015	MM6332760	15326A	6.0	3TI	55252218.0	55252218.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489472.0	165	Q	5629435.296	6196562.188	4439.0	ARROYO GELVEZ			ARROYO ESPERA	ARROYO ESPERA	-34.3682 , -58.5929	AB762
65289219	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	65289219	MT	27/08/2017		02/06/2017	MM64141864	15326A	6.0	3TI	65289219.0	65289219.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	95.36	57489455.0	152	L	5631003.542	6198934.065	4439.0	ARROYO LAS GAVIOTAS					-34.3467 , -58.5762	
5582746	VANO 3x50/8 Al/Ac. H	LINEA_MT	5582746	MT	22/03/2016		01/01/2001	MM5582711	13212A	1.0	2ME	5582746.0	5582746.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	0.56	57491253.0	458N	L	5597799.602	6146609.777	4424.0	EL PUENTE	2	100			-34.8219 , -58.931	
6331641	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331641	MT	22/03/2016		01/01/1998	MM6331628	15326A	6.0	3TI	6331641.0	6331641.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	39.52	57489420.0	111	L	5626213.989	6207092.154	4439.0	ARROYO CRUZ COLORADA					-34.2737 , -58.6295	
6326574	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	6326574	MT	22/03/2016		17/01/2023	MM6326676	15326A	6.0	3TI	6326574.0	6326574.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	36.16	57489471.0	166	L	5630973.481	6197456.418	4439.0	ARROYO RAMA NEGRA	0       				-34.36 , -58.5763	
