#TPLNR	DESCRIPT	TIPO_OBJ_TEC	INVNR	BEGRU	F_ALTA_SAP	F_BAJA_SAP	PTA_SERVICIO	TPLMA	EMPLAZAMIENTO	DIVISION	AREA	OBJECTID	OBJECTNAMEID	TIPO	PARTIDO_GEO	LOCALIDAD_GEO	PARTIDO	LOCALIDAD	SPRID	ALIAS	SECCION	PERFIL	PARTE_OBJETO	OBJETO	LONGITUD	CUADRICULAID	CUADRICULA	FLTYP	COOR_X	COOR_Y	CTRO_COSTO	CALLE	ALTURA_DESDE	ALTURA_HASTA	ENTRE_CALLE_1	ENTRE_CALLE_2	GPS	IDENTIFICADOR
AF771-002	PIQUETE AF771	PIQUETE_MT	19394025	MT	08/04/2016		31/01/2008	MM19394897	13212A	1.0	2ME	19394025.0	19394025.0	PIQUETE_MT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493011.0	507L	Q	5599799.891	6137868.531	4424.0	ISLA SOLEDAD			ISLA SOLEDAD		-34.9005 , -58.9081	AF771
6328192	VANO 3x120 Al. H	LINEA_MT	6328192	MT	22/03/2016		01/01/1975	MM102760416	15326A	6.0	3TI	6328192.0	6328192.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	48.81	57489456.0	151	L	5628360.281	6199339.908	4439.0	ARROYO ESPERA					-34.3433 , -58.605	
AF888-004	PIQUETE AF888	PIQUETE_MT	94169694	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94169694.0	94169694.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5629013.021	6202117.072	4439.0	ARROYO TORO			ARROYO TORO		-34.3182 , -58.5983	AF888
94169697	VANO 3x50 Al. T	LINEA_MT	94169697	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94169697.0	94169697.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	39.16	57489444.0	138	L	5629001.322	6202154.449	4439.0	ARROYO TORO					-34.3179 , -58.5985	
94169206	VANO 3x50 Al. T	LINEA_MT	94169206	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94169206.0	94169206.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	40.28	57489456.0	151	L	5629297.847	6200820.727	4439.0	ARROYO TORO					-34.3299 , -58.595	
94185963	VANO 3x50 Al. V	LINEA_MT	94185963	MT	23/04/2024		01/01/1998	MM95885564	15326A	6.0	3TI	94185963.0	94185963.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.98	57489420.0	111	L	5625072.029	6207045.337	4439.0	RIO CARAPACHAY					-34.2743 , -58.6418	
AF519-003	PIQUETE AF519	PIQUETE_MT	94138645	MT	23/04/2024		01/01/1997	MM6327579	15326A	6.0	3TI	94138645.0	94138645.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5630331.234	6201906.982	4439.0	ARROYO ANTEQUERA			ARROYO ANTEQUERA		-34.3199 , -58.584	AF519
MP_K329OL	MODULO PROTECCION - K329OL	MODULO						K329OL	15326A	6.0	3TI			MODULO_PROTECCION	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)										L										
4851C	4851-CLARINETE (P) CTAMM CLARINETE (P)	CENTRO	16605063	MT	21/03/2016		25/08/1999	15326A	15326A	6.0	3TI	16605063.0	16605063.0	CENTRO	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1188.0	CTAMM		CEPLATMM	CECTAMMC	DPAT		57489432.0	126	P	5629162.624	6206242.609	4439.0	ARROYO EL BANCO			RIO PARANA DE LAS PALMAS	ARROYO CRUZ COLORADA	-34.281 , -58.5973	4851-CLARINETE (P)
AF358-004	PIQUETE AF358	PIQUETE_MT	94107159	MT	14/04/2024		01/01/1995	MM6332010	15326A	6.0	3TI	94107159.0	94107159.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489472.0	165	Q	5628815.729	6196665.262	4439.0	ARROYO ESPERA			ARROYO ESPERA		-34.3674 , -58.5997	AF358
